Timestamp,Makine_Calisma,Insan_Toplam_Calisma,Tespit_Edilen_Insan_Sayisi,Insan_Kirma,Insan_Tasima,Insan_Kirma_Tespit,Insan_Tasima_Tespit,108_Durumu,106_Durumu,Insan_Durumu
10536,True,True,1.0,True,False,True,True,1,1,2
10537,True,True,1.0,True,False,True,True,1,1,2
10538,True,True,1.0,True,False,True,True,1,1,2
10539,True,True,1.0,True,False,True,True,1,1,2
10540,True,True,1.0,True,False,True,True,1,1,2
10541,True,False,1.0,False,False,True,True,0,1,0
10542,True,False,1.0,False,False,True,True,0,1,0
10543,True,False,1.0,False,False,True,True,0,1,0
10544,True,False,1.0,False,False,True,True,0,1,0
10545,True,False,4.0,False,False,True,True,0,1,0
10546,True,False,2.0,False,False,True,True,0,1,0
10547,True,False,2.0,False,False,True,True,0,1,0
10548,True,False,2.0,False,False,True,True,0,1,0
10549,True,False,2.0,False,False,True,True,0,1,0
10550,True,False,1.0,False,False,True,True,0,1,0
10551,True,False,1.0,False,False,True,True,0,1,0
10552,True,False,3.0,False,False,True,True,0,1,0
10553,True,False,1.0,False,False,True,True,0,1,0
10554,True,False,2.0,False,False,True,True,0,1,0
10555,True,False,2.0,False,False,True,True,0,1,0
10556,True,False,2.0,False,False,True,True,0,1,0
10557,True,False,2.0,False,False,True,True,0,1,0
10558,True,False,1.0,False,False,True,True,0,1,0
10559,True,False,2.0,False,False,True,True,0,1,0
10560,True,False,2.0,False,False,True,True,0,1,0
10561,True,False,2.0,False,False,True,True,0,1,0
10562,True,False,2.0,False,False,True,True,0,1,0
10563,True,False,2.0,False,False,True,True,0,1,0
10564,True,False,2.0,False,False,True,True,0,1,0
10565,True,False,2.0,False,False,True,True,0,1,0
10566,True,False,3.0,False,False,True,True,0,1,0
10567,True,False,2.0,False,False,True,True,0,1,0
10568,True,False,2.0,False,False,True,True,0,1,0
10569,True,True,2.0,True,False,True,True,1,1,2
10570,True,True,3.0,True,False,True,True,1,1,2
10571,True,True,3.0,True,False,True,True,1,1,2
10572,True,False,2.0,False,False,True,True,0,1,0
10573,True,False,2.0,False,False,True,True,0,1,0
10574,True,False,2.0,False,False,True,True,0,1,0
10575,True,False,3.0,False,False,True,True,0,1,0
10576,True,False,2.0,False,False,True,True,0,1,0
10577,True,False,3.0,False,False,True,True,0,1,0
10578,True,False,4.0,False,False,True,True,0,1,0
10579,True,False,3.0,False,False,True,True,0,1,0
10580,True,False,1.0,False,False,True,True,0,1,0
10581,True,False,1.0,False,False,True,True,0,1,0
10582,True,False,1.0,False,False,True,True,0,1,0
10583,True,False,2.0,False,False,True,True,0,1,0
10584,True,False,3.0,False,False,True,True,0,1,0
10585,True,False,2.0,False,False,True,True,0,1,0
10586,True,False,4.0,False,False,True,True,0,1,0
10587,True,False,2.0,False,False,True,True,0,1,0
10588,True,False,2.0,False,False,True,True,0,1,0
10589,True,False,2.0,False,False,True,True,0,1,0
10590,True,False,2.0,False,False,True,True,0,1,0
10591,True,False,2.0,False,False,True,True,0,1,0
10592,True,False,2.0,False,False,True,True,0,1,0
10593,True,False,1.0,False,False,True,True,0,1,0
10594,True,False,1.0,False,False,True,True,0,1,0
10595,True,False,1.0,False,False,True,True,0,1,0
10596,True,False,1.0,False,False,True,True,0,1,0
10597,True,False,0.0,False,False,True,True,0,1,0
10598,True,False,1.0,False,False,True,True,0,1,0
10599,True,False,1.0,False,False,True,True,0,1,0
10600,True,False,2.0,False,False,True,True,0,1,0
10601,True,False,3.0,False,False,True,True,0,1,0
10602,True,False,1.0,False,False,True,True,0,1,0
10603,True,False,1.0,False,False,True,True,0,1,0
10604,True,False,2.0,False,False,True,True,0,1,0
10605,True,False,2.0,False,False,True,True,0,1,0
10606,True,False,1.0,False,False,True,True,0,1,0
10607,True,False,2.0,False,False,True,True,0,1,0
10608,True,False,2.0,False,False,True,True,0,1,0
10609,True,False,1.0,False,False,True,True,0,1,0
